ORF1,ORF2
YJR091C,YDL046W
YLR457C,YLR452C
YJR104C,YBR109C
YPR086W,YPL002C
YLR429W,YDL029W
YDR001C,YBR160W
YLR372W,YBR283C
YOL128C,YML023C
YHR206W,YGL073W
YDR328C,YBR127C
YLL028W,YDR497C
YKL004W,YCR061W
YLR314C,YDL225W
YKR026C,YJL215C
YBR009C,YBL004W
YOR155C,YNL189W
YOL087C,YBL002W
YNL189W,YDR148C
YMR240C,YLR117C
YDR443C,YBR253W
YJR007W,YDR021W
YGL019W,YDR365C
YHR140W,YDL212W
YLR432W,YBR055C
YMR228W,YFL036W
YNL304W,YNL263C
YLR074C,YDR174W
YGR040W,YDR343C
YKL082C,YDR309C
YGL134W,YDL108W
YGL181W,YDR511W
YLR372W,YLL006W
YNR032W,YMR186W
YPL237W,YBL032W
YLR144C,YHR016C
YBR036C,YAL018C
YJR083C,YGR218W
YGR104C,YBR193C
YDL154W,YBR133C
YNL244C,YBR247C
YGL178W,YBR160W
YKL022C,YBL084C
YGL227W,YCL039W
YLR295C,YLR168C
YJR015W,YDR179C
YOR020C,YLR259C
YPL246C,YOR181W
YOR355W,YDL012C
YER022W,YBR253W
YNL284C,YBR122C
YDR107C,YCR007C
YNL061W,YHR170W
YOL004W,YIL061C
YLR192C,YDR091C
YBR272C,YBL050W
YNR023W,YDL042C
YLR347C,YLR293C
YPL020C,YDR100W
YOR080W,YBL023C
YPR191W,YDR534C
YNL173C,YDR514C
YNL333W,YMR096W
YMR308C,YIR025W
YOL082W,YHR114W
YDR415C,YDL100C
YNL116W,YHR115C
YMR080C,YDL147W
YLR246W,YJR146W
YML057W,YLR096W
YIL009W,YGR013W
YNL192W,YHR082C
YNL182C,YCR072C
YOL132W,YHR140W
YIL125W,YHR169W
YGL016W,YDL029W
YHR206W,YDL056W
YLR194C,YBR101C
YOR359W,YHR009C
YNL227C,YEL048C
YNL317W,YDR188W
YGR092W,YBR160W
YGR158C,YBL026W
YIR039C,YER114C
YGR207C,YDR309C
YMR068W,YLR423C
YIL131C,YGR017W
YGL130W,YBR221C
YHR137W,YBR198C
YMR319C,YBR217W
YNL236W,YJL030W
YIL035C,YER006W
YNL298W,YLR229C
YOL145C,YGL207W
YIL061C,YDR110W
YMR149W,YHR133C
YMR065W,YER118C
YIL035C,YIL033C
YLR283W,YGR191W
YKL057C,YDL116W
YNL272C,YNL103W
YOR061W,YJL098W
YPR021C,YGR281W
YPR182W,YDR357C
YKL117W,YJR091C
YDR364C,YAL032C
YDR513W,YDL100C
YHR027C,YAL036C
YIL016W,YDR297W
YNL078W,YLR423C
YKR083C,YDR201W
YOR176W,YER071C
YPL280W,YDR425W
YMR004W,YFL011W
YMR159C,YML064C
YPR086W,YBR175W
YNL201C,YDR277C
YJL117W,YCR034W
YPR120C,YER032W
YHR135C,YGR267C
YGL095C,YDR321W
YLL048C,YCR061W
YPL246C,YFR024C
YDR214W,YAL015C
YML007W,YLR295C
YPL092W,YHR042W
YHR044C,YDR267C
YMR273C,YDR309C
YLR295C,YBL099W
YGL161C,YDR100W
YPL076W,YDL153C
YOL020W,YEL017W
YNR025C,YFR042W
YKR068C,YDR246W
YKL021C,YGL141W
YHR007C,YDR331W
YKL061W,YEL013W
YLR018C,YGR284C
YML058W,YBR085W
YOL133W,YFL009W
YLR288C,YCL009C
YLR221C,YDR060W
YKL203C,YER040W
YMR049C,YLR369W
YNR035C,YHR114W
YMR203W,YJR038C
YOR261C,YJR022W
YOL036W,YBR160W
YOR194C,YKL058W
YKR068C,YDR472W
YMR047C,YBR027C
YNL127W,YHR174W
YLL050C,YGR233C
YKR086W,YHR194W
YIL064W,YFR003C
YJR092W,YCL014W
YDL014W,YCR057C
YNR060W,YLR241W
YKL022C,YHR166C
YIL046W,YDR139C
YOR080W,YBR135W
YJL020C,YDR409W
YPL020C,YBR038W
YDR097C,YDL225W
YMR186W,YER095W
YML109W,YAL016W
YOR034C,YHR105W
YOL130W,YIL009W
YMR094W,YDR034C
YPR086W,YJR017C
YKL139W,YBR169C
YPL124W,YLR347C
YCR042C,YBR198C
YNL308C,YIL105C
YGR264C,YGL105W
YNL189W,YDR201W
YLR372W,YEL002C
YML098W,YDR174W
YGR142W,YGL137W
YPL255W,YNL188W
YJL124C,YAL019W
YOR299W,YDL108W
YDR146C,YCR087W
YGR262C,YDR098C
YJL098W,YGL017W
YJR076C,YHR027C
YLR291C,YHL018W
YGL051W,YBR298C
YPL190C,YMR125W
YNL158W,YLR288C
YMR111C,YBR109C
YPL093W,YKR081C
YNL147W,YMR268C
YIL008W,YHR114W
YOR141C,YDL002C
YMR059W,YFL022C
YJR045C,YIL022W
YKR026C,YDL052C
YPL028W,YNL244C
YOR181W,YKL129C
YPR159W,YBL007C
YHR122W,YDL210W
YPL235W,YGR163W
YDL208W,YCL037C
YNL153C,YGR089W
YNL084C,YDR201W
YPR105C,YGR120C
YJR041C,YDL213C
YJR105W,YBR055C
YLR214W,YAR027W
YLR293C,YJL041W
YKL028W,YDR311W
YNL189W,YJR159W
YLR442C,YGR155W
YPR172W,YMR047C
YPR198W,YJL214W
YLR241W,YKR065C
YNL078W,YKR048C
YDR342C,YBL036C
YMR308C,YKL104C
YPR181C,YLR078C
YKL011C,YDR155C
YLR127C,YDL008W
YNR016C,YMR106C
YLR427W,YCR048W
YMR106C,YHR008C
YJR091C,YJL047C
YLR150W,YJR072C
YOL064C,YBR058C
YPR163C,YLR295C
YBR245C,YBL002W
YPR159W,YFR042W
YLR447C,YBR028C
YPR190C,YBL002W
YDR335W,YDR174W
YNL189W,YBR176W
YGR284C,YGL200C
YIL128W,YEL060C
YHL004W,YDR337W
YIL061C,YHR023W
YHR058C,YER022W
YOL106W,YFL010C
YJR091C,YGR241C
YHR152W,YCR086W
YEL017C-A,YDR414C
YPL169C,YER023W
YJL222W,YFL011W
YPR113W,YDL226C
YLR226W,YJL158C
YOR299W,YKR070W
YML031W,YDL088C
YLR423C,YJL036W
YCR082W,YCL032W
YKL081W,YBR118W
YEL009C,YDL097C
YMR049C,YDR386W
YFL041W,YDR414C
YFL025C,YCR034W
YOR231W,YLR313C
YNL173C,YIL128W
YOL139C,YNR010W
YIL159W,YCL027W
YPR086W,YOR045W
YIL142W,YBR198C
YLR320W,YHR154W
YKL152C,YDL090C
YPL042C,YDL165W
YMR011W,YGL051W
YIL070C,YGL237C
YER126C,YER006W
YPL070W,YDR148C
YLR180W,YBR247C
YLR291C,YFR008W
YLR347C,YLR005W
YHR107C,YGL062W
YHR133C,YCL025C
YMR181C,YER022W
YKL018W,YDR301W
YGR077C,YBL026W
YKL085W,YER133W
YBR300C,YBR061C
YNR007C,YMR047C
YNR050C,YJR022W
YJR072C,YGR092W
YJR158W,YDR331W
YLR109W,YJL141C
YDR174W,YDL213C
YER172C,YDR088C
YGL190C,YDR381W
YNL081C,YGR079W
YML023C,YLR143W
YGR178C,YDL160C
YLR134W,YDL132W
YPR104C,YBR009C
YIL109C,YIL004C
YLR117C,YGL120C
YGL112C,YEL009C
YML012W,YGL142C
YDR309C,YCL032W
YLR324W,YDR479C
YPR172W,YLR456W
YGR167W,YGL206C
YMR061W,YLR115W
YMR033W,YBR289W
YMR213W,YBR065C
YIL048W,YHR195W
YNR019W,YJR117W
YKL002W,YBR242W
YML041C,YLR447C
YJL173C,YDR342C
YJR123W,YJR091C
YOR260W,YLR291C
YBR217W,YBR011C
YLR053C,YDR378C
YDL100C,YBL076C
YDR046C,YBR068C
YDR166C,YBR102C
YKL002W,YDR290W
YKL002W,YER121W
YJR091C,YHR049W
YOL152W,YFL049W
YMR310C,YDL208W
YOR069W,YDR172W
YOR080W,YOL041C
YEL051W,YDR328C
YOL072W,YJR091C
YDR331W,YBR183W
YOR098C,YJR001W
YMR109W,YBR109C
YLR229C,YBL085W
YDL225W,YDL029W
YKR088C,YGR060W
YPL115C,YIL055C
YJR077C,YBR114W
YHL042W,YDR318W
YOL133W,YJR090C
YPR086W,YPL248C
YNL265C,YDR211W
YOR244W,YDR271C
YJL201W,YBL007C
YER155C,YBR251W
YGR267C,YGL237C
YJL208C,YDL130W
YLR433C,YKL190W
YOR326W,YGR195W
YLR170C,YHL019C
YDR337W,YDR311W
YDR365C,YCR087W
YPL205C,YER048C
YNL313C,YDL185W
YKL095W,YDR416W
YOL094C,YMR078C
YNL211C,YER022W
YIL084C,YBR274W
YPR156C,YPR037C
YGL116W,YBR160W
YJR076C,YCL024W
YMR091C,YBR245C
YPL013C,YLR074C
YDR049W,YDL190C
YIL170W,YDR331W
YPL043W,YOL077C
YGL124C,YBR131W
YBR290W,YBR110W
YPR016C,YDL014W
YPR111W,YOR210W
YDR082W,YDL220C
YPR157W,YPR086W
YLR233C,YDR496C
YHR064C,YAR018C
YMR012W,YGL061C
YNL188W,YAL047C
YML035C,YLR191W
YLR452C,YHR158C
YNL044W,YBR036C
YML130C,YML067C
YKL129C,YDR388W
YNL213C,YDR283C
YJR091C,YAL066W
YML018C,YJR091C
YLR372W,YJR160C
YDR142C,YBR179C
YDR077W,YDR044W
YLR066W,YJR091C
YMR036C,YBL045C
YJL159W,YBL044W
YOR324C,YDL239C
YPR025C,YBR081C
YOR185C,YOL128C
YMR215W,YKL065C
YER124C,YBL085W
YMR047C,YKL143W
YHL005C,YER022W
YLR314C,YJL060W
YOR158W,YLR423C
YGR134W,YBR200W
YPL259C,YOL010W
YLR258W,YER177W
YPL013C,YGL181W
YMR290C,YML064C
YHR033W,YGR040W
YNL166C,YDR136C
YLR447C,YLR011W
YNL061W,YDR087C
YPL059W,YFL010C
YOL139C,YNL147W
YOL115W,YJL050W
YMR213W,YGR129W
YMR065W,YJL074C
YMR255W,YGL112C
YGR274C,YDR448W
YGR081C,YBR247C
YGL115W,YGL019W
YNL147W,YJR022W
YPL124W,YHR114W
YMR094W,YJR060W
YOR134W,YDR192C
YLR074C,YGL120C
YNL094W,YGR136W
YPL022W,YDL101C
YDR318W,YBR107C
YOR160W,YNR007C
YPL215W,YIL061C
YMR125W,YGL049C
YMR206W,YBR213W
YHR086W,YER029C
YLR423C,YDL239C
YML014W,YBR059C
YOR124C,YGR268C
YLL028W,YIL016W
YOR177C,YHR135C
YHR060W,YDR034C
YLR147C,YJR103W
YGL200C,YCR034W
YNL298W,YCR088W
YDL213C,YBL004W
YML064C,YGR058W
YER081W,YDR512C
YGL206C,YDR320C
YJL042W,YER133W
YPL076W,YBR106W
YLL008W,YHR066W
YMR054W,YDR093W
YDR386W,YBR098W
YIL061C,YGR203W
YOR371C,YGR218W
YOL109W,YBR069C
YLR432W,YDL215C
YNL124W,YDR030C
YPL064C,YIL128W
YLR427W,YHR199C
YNL227C,YKL166C
YLR452C,YLR417W
YER138C,YDR398W
YJR029W,YDL029W
YNL244C,YMR146C
YML012W,YLR208W
YER098W,YDR267C
YNL286W,YDL043C
YJL039C,YBR059C
YMR059W,YLL050C
YCR107W,YBR265W
YPL140C,YHR027C
YNL014W,YMR059W
YLR368W,YHR075C
YMR215W,YHR133C
YOR308C,YBR198C
YPR144C,YCL059C
YOR116C,YBL002W
YGR172C,YGL161C
YGL035C,YDR194C
YOR080W,YHR030C
YER081W,YBR249C
YOR039W,YGR103W
YDR488C,YDR424C
YIL070C,YBR146W
YLR347C,YDR256C
YLR233C,YDL220C
YMR047C,YLR294C
YJR121W,YDR298C
YPL209C,YBR160W
YNL101W,YIL016W
YOR098C,YGL097W
YOR317W,YJR091C
YPR119W,YOR264W
YNL225C,YKL042W
YMR049C,YFL002C
YMR091C,YBR049C
YER133W,YCL054W
YML092C,YLR102C
YOL051W,YKL028W
YPL240C,YLL024C
YBR114W,YBR009C
YHR189W,YDR318W
YOR181W,YJR065C
YDR167W,YBR198C
YIL061C,YGR013W
YPL150W,YGR086C
YHL004W,YGR249W
YMR255W,YDL207W
YOR098C,YGR218W
YOL086C,YBR058C
YMR124W,YLR031W
YPR086W,YMR309C
YLR106C,YBR009C
YLR381W,YBR107C
YPR156C,YLR372W
YHL042W,YGL084C
YMR106C,YHR033W
YHL048W,YHL003C
YGR143W,YBR254C
YGR162W,YBR251W
YPL204W,YKL143W
YMR149W,YBR183W
YGL172W,YAL034W-A
YDR212W,YBR160W
YPR174C,YEL017W
YMR032W,YJL020C
YML075C,YKL154W
YHL030W,YBR143C
YOR016C,YBR069C
YHR100C,YER133W
YKL059C,YAL043C
YIL110W,YCR100C
YIL035C,YHR066W
YLR288C,YLR239C
YHR080C,YEL036C
YGL213C,YCL026C-A
YPR017C,YGR103W
YPL126W,YGR090W
YHL048W,YGR284C
YLL016W,YIL159W
YLR389C,YJR053W
YHR178W,YDR070C
YGR214W,YDR099W
YOL003C,YGR060W
YPL227C,YEL063C
YLL027W,YGL189C
YMR049C,YLR449W
YOL148C,YER148W
YPR107C,YLR115W
YPL126W,YHR183W
YER088C,YDL076C
YNL101W,YJR117W
YPR028W,YIL171W
YOR123C,YLR418C
YFR049W,YDR148C
YGR040W,YER167W
YLR117C,YBL050W
YPR110C,YKL085W
YFL029C,YDR279W
YPL234C,YCL025C
YPR030W,YDR099W
YNL147W,YER112W
YNL094W,YDR235W
YOR123C,YBR058C
YNL118C,YLR451W
YLR447C,YJL058C
YPR086W,YNL288W
YNL088W,YDR510W
YNL135C,YDR341C
YGR074W,YDR088C
YGR282C,YBR017C
YJR022W,YDL111C
YOL123W,YFL018C
YPL101W,YLR384C
YKL212W,YCR034W
YGR292W,YBR299W
YOR308C,YBR195C
YHR089C,YDL213C
YIR026C,YGR103W
YJR091C,YDL147W
YPL157W,YNR004W
YPL259C,YHR027C
YHR133C,YDL015C
YJL193W,YDR414C
YLR442C,YBR009C
YML100W,YDR074W
YDL212W,YCL025C
YKL007W,YIL086C
YGR092W,YDL185W
YGR074W,YDR240C
YDR227W,YBR103W
YMR128W,YGR090W
YJR050W,YDR416W
YNL189W,YLR284C
YIL035C,YDL031W
YLR288C,YCL066W
YDR295C,YDR150W
YNL189W,YGR249W
YNL042W,YIL131C
YNR056C,YDR456W
YPL129W,YDR386W
YMR124W,YEL061C
YKL025C,YGL124C
YNL312W,YDR224C
YJL160C,YCR059C
YPR030W,YOR043W
YKL085W,YGL163C
YGL130W,YDL014W
YGR060W,YDR046C
YMR309C,YBR079C
YML119W,YGR073C
YLR319C,YDR184C
YFR043C,YDR489W
YGL195W,YAL021C
YGL172W,YFR002W
YPR025C,YLR373C
YGL169W,YDR034C
YML008C,YLR292C
YPL179W,YGL236C
YMR117C,YCL032W
YPL140C,YBR260C
YOR071C,YLR083C
YPL093W,YCR086W
YGR055W,YCR061W
YPR120C,YDR130C
YOL086C,YNL127W
YNL244C,YGL049C
YJR161C,YCR034W
YOL108C,YBL002W
YDR295C,YDL074C
YHR016C,YBR205W
YMR216C,YIL079C
YOL133W,YDR328C
YKL065C,YDL210W
YPL227C,YDR331W
YNL058C,YBR160W
YPL092W,YDR456W
YOR245C,YOR097C
YMR032W,YBL085W
YOR154W,YMR104C
YPL022W,YJL157C
YLR103C,YER088C
YKR086W,YER172C
YLR117C,YBR065C
YDR496C,YDL213C
YKL004W,YHL048W
YKL211C,YDL145C
YJL109C,YJL069C
YPL214C,YMR049C
YOR174W,YNL086W
YJL017W,YBR143C
YER025W,YDR211W
YNL277W,YKL028W
YGL201C,YDL185W
YGR284C,YEL063C
YMR168C,YDR328C
YDR093W,YBR160W
YLR083C,YBR293W
YHR023W,YGL106W
YGR041W,YDR316W
YDL005C,YBR193C
YJL074C,YDL087C
YKR014C,YDR425W
YKL015W,YGR057C
YGR162W,YER142C
YBR109C,YBR011C
YNL092W,YIL024C
YMR229C,YHR052W
YPL076W,YJR117W
YJR035W,YGL256W
YER144C,YBR059C
YLR116W,YER013W
YBR045C,YBL105C
YKL068W,YKL057C
YOR181W,YGR136W
YHL030W,YER171W
YPR184W,YBL026W
YMR186W,YHL004W
YPL264C,YDR414C
YHL019C,YFR045W
YMR032W,YCR054C
YHR123W,YGL200C
YOR370C,YJL031C
YMR308C,YJL041W
YKR017C,YHL010C
YLR078C,YDL192W
YPR165W,YPL174C
YPR086W,YOR271C
YMR048W,YLR373C
YHR183W,YBR114W
YPL105C,YDR429C
YLR275W,YHR086W
YMR029C,YER020W
YOR213C,YMR047C
YOR089C,YDR311W
YER161C,YBR085W
YOL132W,YCR024C-A
YER126C,YCR072C
YKL221W,YHR026W
YNR017W,YIL022W
YMR165C,YKL142W
YMR047C,YLR434C
YJL002C,YHL048W
YNL314W,YJR066W
YPR119W,YGL003C
YDL005C,YBR253W
YNL284C,YFR051C
YNL298W,YHR107C
YGL207W,YGL019W
YLR291C,YLR245C
YNL064C,YAL040C
YJR091C,YCR059C
YNL094W,YNL025C
YOR039W,YER112W
YEL063C,YCR024C-A
YHR083W,YDR201W
YMR104C,YEL023C
YML109W,YKR101W
YMR125W,YDL087C
YLR295C,YHR127W
YNL135C,YKL216W
YPL013C,YGR185C
YMR167W,YBR088C
YML064C,YHR111W
YOR080W,YLL050C
YIL156W,YHL002W
YIR038C,YGR191W
YPL194W,YOR146W
YML022W,YLR447C
YER171W,YER062C
YOL041C,YDR060W
YHR170W,YGR155W
YPL204W,YER133W
YOL078W,YMR106C
YLR433C,YBR109C
YLR291C,YDR416W
YMR117C,YLR190W
YGR285C,YAR014C
YMR017W,YLR423C
YOL145C,YJR091C
YJL173C,YBR085W
YLL026W,YJR062C
YJL091C,YDR331W
YOL108C,YLR422W
YOR176W,YHR062C
YPR141C,YJR112W
YJR091C,YEL013W
YNL189W,YJR133W
YMR083W,YBR074W
YIL061C,YDL087C
YIL131C,YBR160W
YGL201C,YCL059C
YDR303C,YBR009C
YLR372W,YLL023C
YKL183W,YGR074W
YML001W,YDR003W
YGR090W,YDR386W
YNL313C,YKL104C
YER101C,YBL050W
YMR047C,YER136W
YMR028W,YDR188W
YKL002W,YER084W
YLR452C,YIL159W
YPL274W,YER026C
YDR381W,YCL011C
YPL259C,YLR329W
YNL265C,YGR083C
YLR086W,YBR160W
YPL180W,YNL006W
YPL105C,YKL074C
YNL055C,YDL132W
YNL258C,YDL145C
YMR198W,YMR012W
YOL078W,YBL036C
YHR161C,YBL106C
YBR084W,YBL035C
YNL189W,YJL052W
YML132W,YLR237W
YNL301C,YLR459W
YLR229C,YAL041W
YPL140C,YMR275C
YML103C,YDR335W
YMR054W,YEL051W
YOR047C,YJR099W
YIL035C,YER164W
YMR042W,YDR173C
YOR089C,YGR223C
YNL263C,YLR262C
YLR190W,YBR160W
YPL217C,YCL059C
YDR224C,YBR009C
YMR211W,YKL190W
YML048W,YHR110W
YLR216C,YBR217W
YNL157W,YER064C
YNR017W,YJL143W
YOR076C,YHL002W
YMR047C,YDR229W
YDL029W,YBR234C
YKL051W,YER022W
YLR096W,YER118C
YKR026C,YGR083C
YKR020W,YJL029C
YNL016W,YJL033W
YPL093W,YNL230C
YLR372W,YDL015C
YJL085W,YDR388W
YPR192W,YGR295C
YOR324C,YDR212W
YML048W,YEL002C
YHR041C,YGR104C
YMR125W,YBL032W
YNL006W,YER093C
YDL185W,YBL021C
YLR200W,YJR112W
YDR062W,YBR017C
YLR269C,YJR091C
YCL027W,YCL025C
YPL233W,YBR069C
YIL108W,YGR136W
YNL132W,YLR233C
YML011C,YDR314C
YFR009W,YDL052C
YNL157W,YBL002W
YLR447C,YLR203C
YGR284C,YER005W
YLR362W,YLR113W
YHL042W,YGL259W
YPR183W,YDL226C
YMR012W,YGR067C
YOR307C,YLR241W
YEL034W,YDR394W
YOR185C,YJR074W
YMR061W,YKL059C
YLR288C,YJL199C
YGR220C,YBR122C
YNL092W,YHR083W
YNL261W,YJL194W
YOR016C,YGR191W
YOR190W,YKR026C
YKR054C,YER018C
YLR424W,YLR052W
YKL002W,YEL068C
YPR163C,YHL036W
YDL185W,YBR103W
YOL106W,YER022W
YNL284C,YMR024W
YMR047C,YER110C
YOR059C,YER045C
YOR032C,YIL108W
YPL204W,YNL113W
YLR342W,YAL007C
YDR273W,YDL239C
YML099C,YCL040W
YLR288C,YJR083C
YMR025W,YER137C
YNL276C,YJL124C
YML011C,YLL059C
YOR377W,YGL127C
YMR304W,YLR131C
YNL112W,YIL035C
YNL006W,YJR066W
YOR038C,YJL176C
YOR023C,YCR082W
YPL264C,YHR140W
YDL123W,YDL114W
YMR106C,YKR051W
YLL050C,YFL039C
YLR355C,YDR499W
YPL233W,YER081W
YOL139C,YLR427W
YKL003C,YBR251W
YOR098C,YJL061W
YPR085C,YGL237C
YGL090W,YCR094W
YGL086W,YDR295C
YDL213C,YCR057C
YDR034C,YDL247W
YPL076W,YBR290W
YMR177W,YLR295C
YOR011W,YIR009W
YHL007C,YBL085W
YNL127W,YMR052W
YNL066W,YLR295C
YOR128C,YBR134W
YOR224C,YHR114W
YBR123C,YAL001C
YBR110W,YBR106W
YCR052W,YBR245C
YGL070C,YBR231C
YPL051W,YKR030W
YPR088C,YPL210C
YHR013C,YGR254W
YPR047W,YMR147W
YOR062C,YMR047C
YLR291C,YGR279C
YJR112W,YGL093W
YJL092W,YFL045C
YER015W,YDR146C
YJL129C,YIL140W
YPL013C,YBR251W
YML006C,YLR457C
YOR087W,YIL046W
YDR461W,YBR061C
YPR182W,YDL087C
YGR054W,YDR366C
YNL086W,YEL005C
YPR110C,YNL308C
YHR166C,YER161C
YHL048W,YAR023C
YOR341W,YJL076W
YIL169C,YBL016W
YMR125W,YCL037C
YNL088W,YDR381W
YGR210C,YER146W
YGR172C,YDR468C
YOR299W,YKL082C
YIR009W,YHR099W
YPR041W,YDR224C
YOR276W,YDR482C
YLL021W,YBR160W
YML099C,YGR040W
YLR131C,YGR218W
YNL317W,YKL059C
YNL135C,YGR204W
YKL081W,YBR025C
YJR065C,YIL062C
YHR129C,YDR106W
YHR165C,YGL128C
YDL059C,YBR039W
YNL166C,YLR314C
YOR128C,YBR021W
YPR016C,YNL110C
YHR020W,YBR217W
YGR090W,YBR247C
YOR326W,YGL195W
YKL068W,YBR216C
YNL094W,YLR429W
YDL175C,YCR077C
YMR106C,YDR127W
YLR293C,YGR218W
YLR349W,YFL040W
YHR165C,YDL209C
YLR192C,YBR079C
YOR047C,YMR236W
YLR442C,YDL185W
YNL006W,YCR012W
YPL050C,YML115C
YPL025C,YGL035C
YLR438W,YJR017C
YOR299W,YNL308C
YGR173W,YDR152W
YNL132W,YHR052W
YOR303W,YOR039W
YIL061C,YCR101C
YOR272W,YNL110C
YPL163C,YKL192C
YHR133C,YBR110W
YJL196C,YDR331W
YDR127W,YAL007C
YPL078C,YJR121W
YKR055W,YIL159W
YIL082W,YGR024C
YNL287W,YBL026W
YLR233C,YDR087C
YNR069C,YLL049W
YOR171C,YOR034C
YNL263C,YGR172C
YJL196C,YIL016W
YOR188W,YBR009C
YHR033W,YBR217W
YNL118C,YKL133C
YOL148C,YDR392W
YDR400W,YCR059C
YMR105C,YBR109C
YML064C,YLR245C
YGL122C,YDR192C
YGR141W,YFL026W
